id,sport_name
1,Aeronautics
2,Alpine Skiing
3,Alpinism
4,Archery
5,Art Competitions
6,Athletics
7,Badminton
8,Baseball
9,Basketball
10,Basque Pelota
11,Beach Volleyball
12,Biathlon
13,Bobsleigh
14,Boxing
15,Canoeing
16,Cricket
17,Croquet
18,Cross Country Skiing
19,Curling
20,Cycling
21,Diving
22,Equestrianism
23,Fencing
24,Figure Skating
25,Football
26,Freestyle Skiing
27,Golf
28,Gymnastics
29,Handball
30,Hockey
31,Ice Hockey
32,Jeu De Paume
33,Judo
34,Lacrosse
35,Luge
36,Military Ski Patrol
37,Modern Pentathlon
38,Motorboating
39,Nordic Combined
40,Polo
41,Racquets
42,Rhythmic Gymnastics
43,Roque
44,Rowing
45,Rugby
46,Rugby Sevens
47,Sailing
48,Shooting
49,Short Track Speed Skating
50,Skeleton
51,Ski Jumping
52,Snowboarding
53,Softball
54,Speed Skating
55,Swimming
56,Synchronized Swimming
57,Table Tennis
58,Taekwondo
59,Tennis
60,Trampolining
61,Triathlon
62,Tug-Of-War
63,Volleyball
64,Water Polo
65,Weightlifting
66,Wrestling
